time,x-rotation,y-rotation,z-rotation
19.120,-40.911,40.194,-28.079
19.160,-27.797,20.507,-40.034
19.200,-29.863,23.479,-24.238
19.240,-16.646,7.268,-26.261
19.280,-18.559,-4.329,-18.902
19.320,-11.650,-9.691,-8.479
19.360,-16.269,-27.294,9.139
19.400,-10.545,-44.314,16.353
19.440,16.197,-54.112,13.887
19.480,26.559,-52.157,37.001
19.520,42.443,-42.938,48.396
19.560,40.473,-35.640,52.309
19.600,30.465,-16.052,38.319
19.640,35.739,3.239,21.395
19.680,20.998,22.119,9.581
19.720,15.465,40.739,-13.312
19.760,-8.399,43.636,-22.046
19.800,-24.059,46.170,-35.427
19.840,-19.097,42.477,-43.472
19.880,-48.007,22.351,-28.034
19.920,-28.883,17.839,-38.338
19.960,-21.810,8.639,-33.548
20.000,-32.717,-11.669,-23.125
20.040,-19.550,-14.649,-19.211
20.080,-17.485,-28.620,0.042
20.120,8.727,-43.731,9.695
20.160,25.823,-53.963,24.059
20.200,31.684,-45.217,51.730
20.240,48.102,-35.964,52.370
20.280,36.052,-27.039,50.396
20.320,42.153,-0.484,49.752
20.360,43.582,6.764,32.652
20.400,13.944,25.347,25.652
20.440,17.031,38.342,-2.325
20.480,-4.950,39.116,-19.428
20.520,-23.548,48.365,-27.904
20.560,-10.103,50.545,-51.105
20.600,-49.150,46.841,-30.324
20.640,-47.900,20.747,-41.963
20.680,-49.089,11.254,-39.554
20.720,-43.338,-2.317,-34.901
20.760,-31.353,-28.232,-32.287
20.800,-23.693,-32.942,-13.567
20.840,-2.706,-55.286,-2.157
20.880,11.921,-70.739,18.308
20.920,32.241,-67.443,35.888
20.960,47.584,-51.227,51.368
21.000,52.630,-30.941,56.738
21.040,53.338,-17.835,44.848
21.080,47.519,4.002,33.693
21.120,37.325,20.770,16.391
21.160,29.592,41.246,-7.847
21.200,6.463,52.961,-21.784
21.240,-8.910,59.985,-30.926
21.280,-3.697,53.068,-51.894
21.320,-39.569,44.882,-30.652
21.360,-28.788,31.875,-46.025
21.400,-32.854,23.388,-40.290
21.440,-43.773,16.707,-24.173
21.480,-38.712,-2.386,-30.575
21.520,-26.071,-19.665,-24.249
21.560,-19.760,-28.190,-3.270
21.600,-12.039,-48.426,15.050
21.640,4.836,-62.005,27.001
21.680,7.889,-62.550,48.685
21.720,23.662,-56.353,43.178
21.760,26.578,-38.438,45.690
21.800,37.176,-33.868,29.325
21.840,31.707,-14.375,24.996
21.880,24.234,11.444,16.955
21.920,14.813,28.681,1.723
21.960,-8.994,43.182,-6.113
22.000,-6.997,51.559,-32.363
22.040,-1.681,61.723,-50.728
22.080,-37.309,52.168,-32.309
22.120,-37.755,39.249,-40.922
22.160,-30.175,29.909,-35.126
22.200,-30.419,10.221,-31.376
22.240,-28.502,-9.516,-21.646
22.280,-23.380,-26.155,-1.543
22.320,-20.511,-45.617,13.628
22.360,-10.728,-62.527,26.738
22.400,2.546,-72.614,36.231
22.440,10.941,-66.608,44.181
22.480,16.860,-56.803,43.510
22.520,23.803,-49.360,27.649
22.560,32.367,-32.085,10.290
22.600,29.284,-4.501,15.751
22.640,25.313,18.857,-6.471
22.680,0.347,45.221,-12.938
22.720,5.320,61.391,-36.814
22.760,-1.543,63.274,-52.904
22.800,-33.662,65.248,-31.197
22.840,-4.165,59.158,-59.169
22.880,-21.242,51.463,-39.440
22.920,-6.364,24.684,-47.367
22.960,-18.411,15.046,-21.688
23.000,-22.024,-4.520,-3.468
23.040,-11.143,-12.527,1.662
23.080,-2.496,-40.446,13.807
23.120,9.992,-65.160,19.005
23.160,34.748,-62.397,27.344
23.200,39.611,-60.015,52.473
23.240,42.946,-50.412,50.232
23.280,50.949,-24.272,40.663
23.320,42.915,-0.373,23.449
23.360,17.329,29.272,-0.812
23.400,7.450,57.988,-33.483
23.440,-16.608,69.036,-44.333
23.480,-8.228,72.351,-64.436
23.520,-32.306,54.600,-46.383
23.560,-24.992,31.040,-26.917
23.600,-6.719,17.302,-24.310
23.640,-14.413,17.416,-10.979
23.680,-8.472,17.588,-8.247
23.720,-12.851,2.645,-6.284
23.760,-7.904,8.342,-3.251
23.800,-9.089,24.276,16.082
23.840,10.873,11.395,6.513
23.880,21.376,0.587,0.286
23.920,5.236,-3.758,17.340
23.960,10.579,-10.743,-11.456
24.000,10.027,-3.468,-19.950
24.040,-3.468,17.340,10.438
24.080,-13.960,31.056,23.396
24.120,-7.523,-2.329,13.380
24.160,5.065,-22.797,3.944
24.200,37.020,-68.144,-25.244
24.240,13.205,-13.899,-11.944
24.280,22.611,0.137,-30.930
24.320,29.184,3.014,-29.897
24.360,-0.122,1.456,1.982
24.400,0.762,0.091,5.663
24.440,10.595,-0.225,11.376
24.480,13.605,-0.960,13.681
24.520,9.245,0.412,11.521
24.560,0.415,0.473,0.854
24.600,-1.010,0.675,-0.716
24.640,0.042,0.404,0.187
24.680,0.019,0.351,0.034
24.720,-0.183,0.549,0.084
24.760,0.072,0.198,-0.133
24.800,-0.111,0.362,0.008
24.840,-0.145,0.423,0.027
24.880,-0.114,0.393,0.027
24.920,-0.103,0.457,-0.004
24.960,-0.053,0.434,-0.008
25.000,-0.095,0.438,-0.008
25.040,-0.061,0.423,0.004
25.080,-0.103,0.450,0.038
25.120,-0.103,0.438,0.000
25.160,-0.149,0.423,0.011
25.200,-0.095,0.446,0.034
25.240,-0.057,0.427,0.015
25.280,-0.099,0.419,0.023
25.320,-0.133,0.393,-0.027
25.360,-0.175,0.412,0.008
25.400,-0.118,0.393,0.050
25.440,-0.141,0.450,0.053
25.480,-0.061,0.469,0.008
25.520,-0.126,0.446,0.038
25.560,-0.175,0.385,0.030
25.600,-0.118,0.370,0.065
25.640,-0.034,0.419,0.053
25.680,-0.122,0.396,-0.015
25.720,-0.122,0.427,0.011
25.760,-0.141,0.492,0.069
25.800,-0.084,0.434,0.057
25.840,-0.061,0.393,0.034
25.880,-0.133,0.454,0.027
25.920,-0.137,0.438,0.004
25.960,-0.145,0.354,-0.042
26.000,-0.088,0.396,0.027
26.040,-0.145,0.442,-0.004
26.080,-0.130,0.389,0.004
26.120,-0.183,0.427,0.030
26.160,-0.084,0.351,0.019
26.200,-0.114,0.396,0.019
26.240,-0.118,0.389,0.069
26.280,-0.027,0.396,0.008
26.320,-0.088,0.457,-0.065
26.360,-0.076,0.419,0.034
26.400,-0.034,0.427,0.011
26.440,-0.069,0.438,0.011
26.480,-0.175,0.415,0.053
26.520,-0.152,0.408,0.046
26.560,-0.103,0.412,-0.027
26.600,-0.137,0.400,0.000
26.640,-0.118,0.419,0.019
26.680,-0.088,0.442,-0.004
26.720,-0.069,0.431,0.034
26.760,-0.103,0.393,0.038
26.800,-0.126,0.347,0.000
26.840,-0.088,0.427,0.038
26.880,-0.099,0.427,0.015
26.920,-0.072,0.393,0.034
26.960,-0.099,0.438,0.030
27.000,-0.114,0.423,0.011
27.040,-0.111,0.396,-0.015
27.080,-0.175,0.389,0.023
27.120,-0.145,0.461,-0.004
27.160,-0.069,0.427,0.008
27.200,-0.072,0.419,-0.015
27.240,-0.072,0.400,0.004
27.280,-0.061,0.415,0.023
27.320,-0.091,0.450,-0.011
27.360,-0.103,0.454,-0.015
27.400,-0.111,0.415,0.034
27.440,-0.091,0.442,0.000
27.480,-0.103,0.412,0.000
27.520,-0.091,0.412,-0.004
