timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,squared norm,zero velocity,px,py,pz,vx,vy,vz,q0,q1,q2,q3,psi,theta,phi
734.0,0.4271889825407806,-0.08823813511770572,0.037541938345735215,48.33022574694456,27.289148469308316,134.77289731450512,21244.242195476716,False,-0.34741027824770765,-0.10271314939566686,-1.5741251581215254,-0.7497701999178437,0.2155877044063072,-4.147533567748659,0.6029833622847852,0.13794804820304543,-0.6864970561534677,0.3822344734548788,-1.9172116310042147,-0.807318390852274,-1.5427579632106425
744.0,1.0321854466350109,-0.13002073744590092,-0.11963377911010689,10.86355436507569,-152.5473584314027,-84.54032190148216,30535.779405048026,False,-0.35494296767243894,-0.10042193953195228,-1.615596728636384,-0.7567676841794786,0.2426542679326351,-4.1467805350638685,0.596493717412446,0.14877914525644656,-0.6930841951349662,0.37642304589166475,-1.927400797242218,-0.7963851768580823,-1.577949119191064
753.0,1.2448622029748946,-0.09614961973134421,-0.05455027935227218,33.457352412131286,100.35898583948034,-33.72816455234818,12328.90955322884,False,-0.36183409107505426,-0.09812847555727655,-1.652837452819299,-0.7745930728615793,0.2670043930588868,-4.128935950093626,0.6025880337231035,0.14932744031479409,-0.6869663366695267,0.3777118338966965,-1.9048336043154255,-0.7967813235422408,-1.5542620444778703
763.0,0.7040875126857205,-0.11761951554822267,-0.0525954418627656,20.95269850563576,-82.9827065711709,83.64055972563389,14320.888395762451,False,-0.36960262229800883,-0.09539270548455486,-1.6942731709721894,-0.7791131706160748,0.28014962098874036,-4.158207680193355,0.5945846664418516,0.14824838830568074,-0.6917000913650655,0.38215503843670584,-1.9317688286870014,-0.7884206929734655,-1.5720066006244429
773.0,1.135712290916778,-0.13573350114629182,-0.09471015075205265,5.7438924057706515,24.61950352430202,-50.79635826637824,3219.3822668784424,False,-0.377455595611391,-0.0924637550837388,-1.7358009127732559,-0.7914814925925818,0.30564046001811057,-4.14734068022251,0.5977228526562767,0.1509159614892352,-0.6895745086679113,0.3800509978616445,-1.9182425742210825,-0.7889833787656573,-1.5659383756777203
784.0,1.0270057167984958,-0.15114426135537104,-0.08542091254130268,-3.4222435122518204,10.441138737904893,4.340281521194661,139.5671724845517,False,-0.3862127171452181,-0.0889756324526148,-1.7814121155128826,-0.8007224235386147,0.3285636562609709,-4.145605272887508,0.5983432142671836,0.1501874327134567,-0.6891779460846659,0.3800827431308578,-1.917143108505715,-0.7902974390949142,-1.5637542731976373
794.0,0.9313422680468568,-0.11960783263014876,-0.07415629785205419,-11.910580488625214,-13.505039053073025,11.595108415892785,458.69454657735486,False,-0.3942643831726141,-0.08559025887714419,-1.8229097473217206,-0.8096107798747397,0.3485110579602733,-4.153921088523063,0.5973410103370718,0.14943838479371413,-0.6904368343882511,0.37966941441162033,-1.9218749042479601,-0.7914571190519848,-1.5680497842844392
804.0,1.048714660152593,-0.12266051246591403,-0.07767985530571236,-10.132220471345036,15.318269688870764,-16.55575089488262,611.4041656343269,False,-0.4024180114550793,-0.08199132987314012,-1.8644360596694698,-0.8211148748974048,0.3712747416157878,-4.151341380581514,0.5989858304969662,0.14952661492565628,-0.6897619080066377,0.37826746695397534,-1.9167827880043729,-0.7940430075098656,-1.5654599587545412
814.0,0.9820821574061469,-0.17248432427922766,-0.09350019414585142,-15.400948616312126,-18.491638623687184,18.27279971722941,913.0251267773053,False,-0.4106551714325908,-0.07818412060178231,-1.9059586137107614,-0.8263171218297217,0.3901671130324702,-4.153169427899909,0.5974904246212098,0.14832998508086956,-0.6914914938331411,0.3779456600733579,-1.9238360910880496,-0.7954772639654855,-1.571259993965384
823.0,1.014546403944513,-0.14460125638594984,-0.08443613674619554,-31.015504176642626,1.0757130352204527,1.1918059962892604,964.5390593982704,False,-0.41812788282556235,-0.07458828564411189,-1.943336316024448,-0.8342854111951602,0.40890732214168674,-4.152986641907946,0.5979014704195714,0.14687038716027775,-0.692381480135448,0.3762323843197854,-1.9254079039150922,-0.8001161639087997,-1.5735611662257516
